prompt,response,text
What information is available about Stracchino?,"Stracchino is a generic name applied to several types of whole-milk
cheeses made in Italy. The best known is Stracchino di Gorgonzola.
Others are Stracchino di Milano (also known as Fresco and Quardo),

Stracchino Quartirolo, Stracchino Grescenza, and Stracchino Salame or
Formaggio Salame. These are described under their speciﬁc names.

Analysis: Moisture, 47.5 percent; fat, 26.4 percent; and protein, 22.1
percent.","human:What information is available about Stracchino?
bot:Stracchino is a generic name applied to several types of whole-milk
cheeses made in Italy. The best known is Stracchino di Gorgonzola.
Others are Stracchino di Milano (also known as Fresco and Quardo),

Stracchino Quartirolo, Stracchino Grescenza, and Stracchino Salame or
Formaggio Salame. These are described under their speciﬁc names.

Analysis: Moisture, 47.5 percent; fat, 26.4 percent; and protein, 22.1
percent."
What information is available about Styria?,"Styria cheese is a cow's whole-milk, cylindrical cheese made in the Province
of Styria, Austria.","human:What information is available about Styria?
bot:Styria cheese is a cow's whole-milk, cylindrical cheese made in the Province
of Styria, Austria."
What information is available about CHEESE VARIETIES AND DESCRIPTIONS?,123,"human:What information is available about CHEESE VARIETIES AND DESCRIPTIONS?
bot:123"
What information is available about Surati?,"Surati (or Panir) cheese, which is made from buValo's milk, is perhaps
the best known of the few varieties of cheese made in India. It is named
for the town of Surat in the Gujarat district, Bombay Province. The
cheese is uncolored and is characterized by the fact that it is kept in whey
while it cures and is transported in whey in large earthen containers. It is

supposed to have therapeutic properties.

The making process is simple. Lactic starter is added to fresh, whole
milk (preferably pasteurized) , and rennet is added at a temperature of about
95° F. An hour later the curd is ladled in thin slices into small, clean
bamboo baskets that are dressed on the inside with salt. Additional salt
is mixed with the curd. The baskets of curd are placed on a draining rack
to drain (and shrink) for about an hour, and the cheeses are inverted in the
baskets. The whey that drains from the cheeses is strained, and the cheeses
are removed from the baskets and ripened by ﬂoating them in the whey,
at a temperature of 75° to 80°, for 12 to 36 hours. Then they are ready
for consumption or shipment. Each cheese weighs about 4 ounces. About
38 pounds of cheese is obtained from 100 pounds of buValo's milk containing
6 percent of fat.","human:What information is available about Surati?
bot:Surati (or Panir) cheese, which is made from buValo's milk, is perhaps
the best known of the few varieties of cheese made in India. It is named
for the town of Surat in the Gujarat district, Bombay Province. The
cheese is uncolored and is characterized by the fact that it is kept in whey
while it cures and is transported in whey in large earthen containers. It is

supposed to have therapeutic properties.

The making process is simple. Lactic starter is added to fresh, whole
milk (preferably pasteurized) , and rennet is added at a temperature of about
95° F. An hour later the curd is ladled in thin slices into small, clean
bamboo baskets that are dressed on the inside with salt. Additional salt
is mixed with the curd. The baskets of curd are placed on a draining rack
to drain (and shrink) for about an hour, and the cheeses are inverted in the
baskets. The whey that drains from the cheeses is strained, and the cheeses
are removed from the baskets and ripened by ﬂoating them in the whey,
at a temperature of 75° to 80°, for 12 to 36 hours. Then they are ready
for consumption or shipment. Each cheese weighs about 4 ounces. About
38 pounds of cheese is obtained from 100 pounds of buValo's milk containing
6 percent of fat."
What information is available about Sveciaost?,"Sveciaost is a Swedish cow's-milk cheese, made principally for domestic
consumption. It is simpler to make and cure than other Swedish cheeses
and often is made when conditions are not just right for making other cheese.
It is made from whole, partly skimmed, or skim milk that usually has developed more or less acidity, and there is considerable variation in the composition of the cheese.

Sveciaost is made in much the same way as Gouda, and the cheese
resembles Gouda except that it has a more open texture. The curd is cut
to about the size of the common bean and is ﬁrmed considerably in the vat,
the development of acidity is relatively rapid, the drained curd is stirred

to prevent matting, sometimes spices are added, and the curd is salted before
it is hooped and pressed. When the cheeses are removed from the press,
they may be immersed in salt brine at a temperature not over 59° F. for
3 or 4 hours, to harden the rind. The cheeses are cured for several days
at a temperature of 59° to 65°, then ﬁnally at 50° to 59°. The cheeses
are ﬂat, about 15 inches in diameter and 5 to 6 inches thick, and they weigh
26 to 33 pounds. About 9^2 pounds of cheese is obtained per 100 pounds
of partly skimmed milk.

Analysis: Sveciaost made from partly skimmed milk — moisture, 42 to 43
percent; fat, 26.5 percent; protein, 25.5 percent; and salt, 1.5 percent.","human:What information is available about Sveciaost?
bot:Sveciaost is a Swedish cow's-milk cheese, made principally for domestic
consumption. It is simpler to make and cure than other Swedish cheeses
and often is made when conditions are not just right for making other cheese.
It is made from whole, partly skimmed, or skim milk that usually has developed more or less acidity, and there is considerable variation in the composition of the cheese.

Sveciaost is made in much the same way as Gouda, and the cheese
resembles Gouda except that it has a more open texture. The curd is cut
to about the size of the common bean and is ﬁrmed considerably in the vat,
the development of acidity is relatively rapid, the drained curd is stirred

to prevent matting, sometimes spices are added, and the curd is salted before
it is hooped and pressed. When the cheeses are removed from the press,
they may be immersed in salt brine at a temperature not over 59° F. for
3 or 4 hours, to harden the rind. The cheeses are cured for several days
at a temperature of 59° to 65°, then ﬁnally at 50° to 59°. The cheeses
are ﬂat, about 15 inches in diameter and 5 to 6 inches thick, and they weigh
26 to 33 pounds. About 9^2 pounds of cheese is obtained per 100 pounds
of partly skimmed milk.

Analysis: Sveciaost made from partly skimmed milk — moisture, 42 to 43
percent; fat, 26.5 percent; protein, 25.5 percent; and salt, 1.5 percent."
What information is available about Sweet-curd?,"Sweet-curd cheese in the United States refers to cheese made by the
usual Cheddar process, except that the milk is not ripened and the curd is
cut, heated, and drained rather quickly, without waiting for the develop-

124 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

ment of acidity, and the curd is not milled. In other respects, the process is
similar to the Cheddar process, and the cured cheese is much like Cheddar
cheese but usually contains more moisture and the curd is not so compact.
Such varieties as Brick, Miinster, Edam, and Gouda are also Sweet-curd
cheeses.

Swiss

Swiss (Emmentaler) cheese, which is a large, hard, pressed-curd cheese
with an elastic body and a mild, nut-like, sweetish ﬂavor, is best known
because of the holes or eyes that develop in the curd as the cheese ripens.
The eyes often are / 2 to 1 inch in diameter and from 1 to 3 inches apart.
The cheeses are about 6 inches thick, frequently more than 36 inches in
diameter, and usually weigh between 160 and 230 pounds.

Switzerland is famous for this so-called King of Cheeses, and a large part
of the milk produced in Switzerland is used in its production. It was ﬁrst
made, probably about the middle of the 15th century, in the Canton of
Bern in the Emmental Valley (which accounts for its native name Emmentaler) . The industry was well developed and cheese was being exported
by the middle of the 17th century. Only the best cheese is exported, and
it is commonly called ""Switzerland Swiss.""

Swiss cheese is made in many other countries besides Switzerland, including France, Denmark, Germany, Bavaria, Italy, Austria, Finland, Russia,
Argentina, and the United States. Allgauer Emmentaler, Bellunese,
Formaggio Dolce, Fontina, Fontine d'Aosta, and Traanen are local names
for similar cheeses made in Switzerland and nearby countries. Gruyere,
made mostly in France, is similar to Swiss but is smaller and cures somewhat diVerently. Danish Swiss is called Samso.

The ﬁrst Swiss cheese in the United States was made about 1850 by
Swiss immigrants, and much of it is still being made by their descendants.
Among the hard cheeses, Swiss ranks second only to Cheddar in the quantity

produced each year. About half of the annual production of 100 million
pounds is made in Wisconsin, and Illinois, Idaho, Minnesota, Ohio, Utah,
and Wyoming are other leading producers. In the United States it is
often called Schweizer or Sweitzer.

Swiss cheese is one of the most diVicult kinds of cheese to make. Control
of the quality and composition of the milk, propagation and use of the
essential bacterial starters, and the details of manufacture are complicated
procedures that require the services of a skilled cheesemaker, and its successful manufacture is a factory operation that requires special equipment.

Three species of bacteria are used as starters : Streptococcus thermophilus,
called the coccus culture; a lactobacillus— Lactobacillus bulgaricus or L.
Za^V— called the rod culture; and Propionibacterium shermanii (a propionic- acid-forming micro-organism), called the eye former. The lactobacillus and streptococcus produce lactic acid, which aids in expelling the
whey, and they probably contribute to the breakdown of the curd during
ripening. The propionic-acid bacteria are largely responsible for the characteristic ﬂavor and eye formation.","human:What information is available about Sweet-curd?
bot:Sweet-curd cheese in the United States refers to cheese made by the
usual Cheddar process, except that the milk is not ripened and the curd is
cut, heated, and drained rather quickly, without waiting for the develop-

124 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

ment of acidity, and the curd is not milled. In other respects, the process is
similar to the Cheddar process, and the cured cheese is much like Cheddar
cheese but usually contains more moisture and the curd is not so compact.
Such varieties as Brick, Miinster, Edam, and Gouda are also Sweet-curd
cheeses.

Swiss

Swiss (Emmentaler) cheese, which is a large, hard, pressed-curd cheese
with an elastic body and a mild, nut-like, sweetish ﬂavor, is best known
because of the holes or eyes that develop in the curd as the cheese ripens.
The eyes often are / 2 to 1 inch in diameter and from 1 to 3 inches apart.
The cheeses are about 6 inches thick, frequently more than 36 inches in
diameter, and usually weigh between 160 and 230 pounds.

Switzerland is famous for this so-called King of Cheeses, and a large part
of the milk produced in Switzerland is used in its production. It was ﬁrst
made, probably about the middle of the 15th century, in the Canton of
Bern in the Emmental Valley (which accounts for its native name Emmentaler) . The industry was well developed and cheese was being exported
by the middle of the 17th century. Only the best cheese is exported, and
it is commonly called ""Switzerland Swiss.""

Swiss cheese is made in many other countries besides Switzerland, including France, Denmark, Germany, Bavaria, Italy, Austria, Finland, Russia,
Argentina, and the United States. Allgauer Emmentaler, Bellunese,
Formaggio Dolce, Fontina, Fontine d'Aosta, and Traanen are local names
for similar cheeses made in Switzerland and nearby countries. Gruyere,
made mostly in France, is similar to Swiss but is smaller and cures somewhat diVerently. Danish Swiss is called Samso.

The ﬁrst Swiss cheese in the United States was made about 1850 by
Swiss immigrants, and much of it is still being made by their descendants.
Among the hard cheeses, Swiss ranks second only to Cheddar in the quantity

produced each year. About half of the annual production of 100 million
pounds is made in Wisconsin, and Illinois, Idaho, Minnesota, Ohio, Utah,
and Wyoming are other leading producers. In the United States it is
often called Schweizer or Sweitzer.

Swiss cheese is one of the most diVicult kinds of cheese to make. Control
of the quality and composition of the milk, propagation and use of the
essential bacterial starters, and the details of manufacture are complicated
procedures that require the services of a skilled cheesemaker, and its successful manufacture is a factory operation that requires special equipment.

Three species of bacteria are used as starters : Streptococcus thermophilus,
called the coccus culture; a lactobacillus— Lactobacillus bulgaricus or L.
Za^V— called the rod culture; and Propionibacterium shermanii (a propionic- acid-forming micro-organism), called the eye former. The lactobacillus and streptococcus produce lactic acid, which aids in expelling the
whey, and they probably contribute to the breakdown of the curd during
ripening. The propionic-acid bacteria are largely responsible for the characteristic ﬂavor and eye formation."
What information is available about CHEESE VARIETIES AND DESCRIPTIONS?,"125

Although there are slight diVerences between the methods used for making
Swiss cheese in Switzerland and in the United States, following is a brief
description of the general method :

Swiss cheese is made in round copper kettles that hold at least 2,000
pounds of milk, and frequently 3,000 or 3,200 pounds. The kettles are
double-jacketed or have a steam chamber in the bottom. Good-quality,
fresh milk is essential. It is advisable to clarify and standardize the milk.
Clariﬁcation increases the elasticity of the curd in the cheese and improves
eye formation. Standardizing the fat content of the milk assures cheese
of uniform composition; usually slightly more than 10 percent of the fat is
removed.

As the milk ﬂows from the clariﬁer into the kettle, steam is turned on
in the jacket or steam chamber under the kettle, and the milk is warmed
to setting temperature ' (88° to 94° F.). Stirring is begun, the starter is
added, and shortly thereafter enough rennet extract is added so the curd
will be ﬁrm enough to cut in 30 minutes (the ﬁrst indication of thickening
appears in from 20 to 22 minutes) .

As soon as the curd is ﬁrm enough to cut, the surface is ""turned under"" —
that is, the creamy top layer is skimmed oV with a wide, ﬂat scoop and
pushed to the back of the kettle, in order to mix this creamy layer with the
rest of the curd. The curd is cut with a Swiss-cheese harp— from back to
front and from side to side— into long rectangular strips about 1 inch square.
Then the curd is turned under from top to bottom with a scoop, so that

which was underneath will be on the surface, and the pieces are cut into
1-inch cubes. About 5 minutes after cutting is completed, the curd is
harped (cut and mixed) until the particles are about % inch in diameter.
This usually requires about 15 minutes.

Then the curd is ""foreworked""— that is, stirred slowly, either continuously or at intervals — for 30 minutes to an hour or more as it acquires ﬁrmness. When it is suViciently ﬁrm, steam is turned on and the curd is heated,
usually in 30 minutes, to a temperature between 120° and 127.5° F. It is
stirred continuously while it is being heated, and stirring is continued for
at least 25 minutes and sometimes for an hour or longer after the ﬁnal
cooking temperature is reached. This is called ""stirring out."" As soon
as the particles of curd can be broken apart easily without sticking when
compressed in the hand, the curd is ready to be dipped. Some cheesemakers add several gallons of cold water at this point. Stirring is discontinued, so the curd will settle, and some of the whey is drawn oV.

The curd is enclosed in a large, coarsely woven dipping cloth, and it is
hoisted slowly over the kettle with a block and tackle, and the excess whey
drains into the kettle. The bag of curd is then lowered into a circular
wooden or stainless-steel hoop, which rests on a circular pressboard on a
drain table. The curd is pressed gently down into the hoop, the edges of
the cloth are smoothed over the curd, a circular pressboard is laid on top
of the curd, and the curd is pressed from above with a screw- or lever-press.

About 5 minutes -later, the hoop is removed; a clean, light cloth and a
clean, heavy burlap cloth are substituted for the dipping cloth; the hoop

126 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

is replaced; the cheese is turned over and another pressboard is placed on
it ; and it is pressed again. This process is repeated at deﬁnite intervals for
24 hours.

Then the cheese is removed from the press and, still in the hoop, it is
taken to the so-called cold room (temperature about 55° F. and relative
humidity 80 to 85 percent) , where it is salted in brine. The cheese may be
removed from the hoop and placed in the salt tank at once; or, still in the
hoop, it may be placed on a shelf to cool for a day or so before it is salted.
It is left in the salt brine for 2 or 3 days, the time depending on the size of the
cheese, the amount of salt absorbed, and the rind formation desired. It is
turned over and sprinkled with salt daily. Then it is placed on a circular
board on a shelf in the cold room for a week or 10 days; it is washed,
turned, and sprinkled with dry salt daily.

Then it is transferred to a clean board on a shelf in the warm room
(temperature 65° to 72° F. and relative humidity 80 to 85 percent), where
the principal ripening process takes place. The cheese is washed with
salty water, it is turned and placed on a clean board, and salt is rubbed on
the surface every few days. The eyes begin to form when the cheese is about
3 weeks old; eye formation is controlled to some extent by regulating the
temperature of the room. The cheese usually remains in the warm room
for 4 to 6 weeks; then it is returned to the cold room for further but slower
curing, or to a storage room where it is held at about 40° .

Much of the cheese made in the United States is marketed after curing
for 3 or 4 months (the minimum curing period is 2 months) . Most of the
cheese exported from Switzerland is cured for 6 to 10 months and has a
more pronounced ﬂavor.

A cheese weighing between 185 and 210 pounds can be made from a
2,500-pound kettle of milk. Several cheeses are packed in a round, wooden
box for shipment; the box may contain more than 1,000 pounds of cheese.
Swiss cheese is also made in rectangular blocks, about 28 inches long and
8 inches square, that weigh 25 to 28 pounds.

So-called rindless Swiss cheese is made by a somewhat modiﬁed method.
The milk (in some instances as much as 10,000 pounds) is set in a rectangular vat, and the curd is prepared in the usual way. The curd and whey
are transferred to a so-called press vat. Then, in a procedure similar to that
used in making Herrgirdsost, the curd is pressed under the whey into a
ﬂat, rectangular block. The block of curd is subdivided into sections, each
of which makes a cheese. Each cheese is placed in a cloth-lined box and
pressed, then removed from the box, salted in brine, and dried. Then it
is wrapped in ﬁlm and placed in a box to cure.

Analysis (Domestic Swiss) : Moisture, 39.4 percent (not more than 41
percent) ; fat, 27.5 percent (not less than 43 percent in the solids) ; protein,
27.4 percent; and salt, 1 to 1.6 percent.","human:What information is available about CHEESE VARIETIES AND DESCRIPTIONS?
bot:125

Although there are slight diVerences between the methods used for making
Swiss cheese in Switzerland and in the United States, following is a brief
description of the general method :

Swiss cheese is made in round copper kettles that hold at least 2,000
pounds of milk, and frequently 3,000 or 3,200 pounds. The kettles are
double-jacketed or have a steam chamber in the bottom. Good-quality,
fresh milk is essential. It is advisable to clarify and standardize the milk.
Clariﬁcation increases the elasticity of the curd in the cheese and improves
eye formation. Standardizing the fat content of the milk assures cheese
of uniform composition; usually slightly more than 10 percent of the fat is
removed.

As the milk ﬂows from the clariﬁer into the kettle, steam is turned on
in the jacket or steam chamber under the kettle, and the milk is warmed
to setting temperature ' (88° to 94° F.). Stirring is begun, the starter is
added, and shortly thereafter enough rennet extract is added so the curd
will be ﬁrm enough to cut in 30 minutes (the ﬁrst indication of thickening
appears in from 20 to 22 minutes) .

As soon as the curd is ﬁrm enough to cut, the surface is ""turned under"" —
that is, the creamy top layer is skimmed oV with a wide, ﬂat scoop and
pushed to the back of the kettle, in order to mix this creamy layer with the
rest of the curd. The curd is cut with a Swiss-cheese harp— from back to
front and from side to side— into long rectangular strips about 1 inch square.
Then the curd is turned under from top to bottom with a scoop, so that

which was underneath will be on the surface, and the pieces are cut into
1-inch cubes. About 5 minutes after cutting is completed, the curd is
harped (cut and mixed) until the particles are about % inch in diameter.
This usually requires about 15 minutes.

Then the curd is ""foreworked""— that is, stirred slowly, either continuously or at intervals — for 30 minutes to an hour or more as it acquires ﬁrmness. When it is suViciently ﬁrm, steam is turned on and the curd is heated,
usually in 30 minutes, to a temperature between 120° and 127.5° F. It is
stirred continuously while it is being heated, and stirring is continued for
at least 25 minutes and sometimes for an hour or longer after the ﬁnal
cooking temperature is reached. This is called ""stirring out."" As soon
as the particles of curd can be broken apart easily without sticking when
compressed in the hand, the curd is ready to be dipped. Some cheesemakers add several gallons of cold water at this point. Stirring is discontinued, so the curd will settle, and some of the whey is drawn oV.

The curd is enclosed in a large, coarsely woven dipping cloth, and it is
hoisted slowly over the kettle with a block and tackle, and the excess whey
drains into the kettle. The bag of curd is then lowered into a circular
wooden or stainless-steel hoop, which rests on a circular pressboard on a
drain table. The curd is pressed gently down into the hoop, the edges of
the cloth are smoothed over the curd, a circular pressboard is laid on top
of the curd, and the curd is pressed from above with a screw- or lever-press.

About 5 minutes -later, the hoop is removed; a clean, light cloth and a
clean, heavy burlap cloth are substituted for the dipping cloth; the hoop

126 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

is replaced; the cheese is turned over and another pressboard is placed on
it ; and it is pressed again. This process is repeated at deﬁnite intervals for
24 hours.

Then the cheese is removed from the press and, still in the hoop, it is
taken to the so-called cold room (temperature about 55° F. and relative
humidity 80 to 85 percent) , where it is salted in brine. The cheese may be
removed from the hoop and placed in the salt tank at once; or, still in the
hoop, it may be placed on a shelf to cool for a day or so before it is salted.
It is left in the salt brine for 2 or 3 days, the time depending on the size of the
cheese, the amount of salt absorbed, and the rind formation desired. It is
turned over and sprinkled with salt daily. Then it is placed on a circular
board on a shelf in the cold room for a week or 10 days; it is washed,
turned, and sprinkled with dry salt daily.

Then it is transferred to a clean board on a shelf in the warm room
(temperature 65° to 72° F. and relative humidity 80 to 85 percent), where
the principal ripening process takes place. The cheese is washed with
salty water, it is turned and placed on a clean board, and salt is rubbed on
the surface every few days. The eyes begin to form when the cheese is about
3 weeks old; eye formation is controlled to some extent by regulating the
temperature of the room. The cheese usually remains in the warm room
for 4 to 6 weeks; then it is returned to the cold room for further but slower
curing, or to a storage room where it is held at about 40° .

Much of the cheese made in the United States is marketed after curing
for 3 or 4 months (the minimum curing period is 2 months) . Most of the
cheese exported from Switzerland is cured for 6 to 10 months and has a
more pronounced ﬂavor.

A cheese weighing between 185 and 210 pounds can be made from a
2,500-pound kettle of milk. Several cheeses are packed in a round, wooden
box for shipment; the box may contain more than 1,000 pounds of cheese.
Swiss cheese is also made in rectangular blocks, about 28 inches long and
8 inches square, that weigh 25 to 28 pounds.

So-called rindless Swiss cheese is made by a somewhat modiﬁed method.
The milk (in some instances as much as 10,000 pounds) is set in a rectangular vat, and the curd is prepared in the usual way. The curd and whey
are transferred to a so-called press vat. Then, in a procedure similar to that
used in making Herrgirdsost, the curd is pressed under the whey into a
ﬂat, rectangular block. The block of curd is subdivided into sections, each
of which makes a cheese. Each cheese is placed in a cloth-lined box and
pressed, then removed from the box, salted in brine, and dried. Then it
is wrapped in ﬁlm and placed in a box to cure.

Analysis (Domestic Swiss) : Moisture, 39.4 percent (not more than 41
percent) ; fat, 27.5 percent (not less than 43 percent in the solids) ; protein,
27.4 percent; and salt, 1 to 1.6 percent."
What information is available about TaVelost?,"TaVelost, a rather sharp-ﬂavored Scandinavian cheese, is said to be a whey
cheese resembling Mysost. Small quantities are imported into the United
States.","human:What information is available about TaVelost?
bot:TaVelost, a rather sharp-ﬂavored Scandinavian cheese, is said to be a whey
cheese resembling Mysost. Small quantities are imported into the United
States."
What information is available about CHEESE VARIETIES AND DESCRIPTIONS?,127,"human:What information is available about CHEESE VARIETIES AND DESCRIPTIONS?
bot:127"
What information is available about Taﬁ?,"Taﬁ is the name of a cheese made in Tucuman, Argentina.","human:What information is available about Taﬁ?
bot:Taﬁ is the name of a cheese made in Tucuman, Argentina."
What information is available about Taleggio?,"Taleggio, a soft, surface-ripened, Stracchino (whole-milk) cheese with a
moldy rind, was ﬁrst made in the Taleggio Valley in Lombardy, Italy, after
World War I. The cheeses are about 8 inches square and 2 inches thick
and weigh from 3/ 2 to 4 pounds.

A starter is added to fresh, whole, cow's milk, and the milk is set with
rennet at a temperature between 85° and 90° F. About 30 minutes later,
the curd is cut into walnut-size cubes. When the curd is suViciently ﬁrm,

it is gathered in a cloth, drained to remove the whey, and then is put into
forms.

When the cheeses are ﬁrm enough to retain their shape, they are removed
from the forms and salted — usually in dry salt but sometimes in brine. They
are cured for about 2 months at a temperature between 36° and 40° F.","human:What information is available about Taleggio?
bot:Taleggio, a soft, surface-ripened, Stracchino (whole-milk) cheese with a
moldy rind, was ﬁrst made in the Taleggio Valley in Lombardy, Italy, after
World War I. The cheeses are about 8 inches square and 2 inches thick
and weigh from 3/ 2 to 4 pounds.

A starter is added to fresh, whole, cow's milk, and the milk is set with
rennet at a temperature between 85° and 90° F. About 30 minutes later,
the curd is cut into walnut-size cubes. When the curd is suViciently ﬁrm,

it is gathered in a cloth, drained to remove the whey, and then is put into
forms.

When the cheeses are ﬁrm enough to retain their shape, they are removed
from the forms and salted — usually in dry salt but sometimes in brine. They
are cured for about 2 months at a temperature between 36° and 40° F."
What information is available about Tamie?,"Tamie cheese is made by Trappists in Savoy, France. The exact method
of manufacture is a trade secret, but the cheese is similar to Tome de
Beaumont. (See Tome de Beaumont.)","human:What information is available about Tamie?
bot:Tamie cheese is made by Trappists in Savoy, France. The exact method
of manufacture is a trade secret, but the cheese is similar to Tome de
Beaumont. (See Tome de Beaumont.)"
What information is available about Tanzenberger?,"Tanzenberger is a Limburger-type cheese that is made in Garinthia, in
southern Austria.","human:What information is available about Tanzenberger?
bot:Tanzenberger is a Limburger-type cheese that is made in Garinthia, in
southern Austria."
What information is available about Teleme?,"Teleme, also called Brandza de Braila, is a so-called pickled cheese made
from goat's or ewe's milk in Rumania, Bulgaria, Greece, and Turkey. It
is very much like Greek Feta. Fresh milk is set with rennet at a temperature of about 86° F.; the curd is broken up, collected in a cloth, covered,
and pressed with a weight. The pressed curd is cut into pieces about 3 or 4
inches square and 1 J4 to 2 inches thick, and they are immersed in salt brine
for a day. The cheeses are cured for 8 to 10 days either in dilute salt brine
in a cask or packed in layers in a metal container, with salt between the

layers. The cured cheese is white and creamy. About 20 pounds of cheese
is obtained from 100 pounds of goat's milk and 30 pounds per 100 pounds of
ewe's milk.

Analysis: Moisture, 28.3 percent; fat, 37.5 percent; protein, 30.0 percent;
and salt, 2.4 percent.","human:What information is available about Teleme?
bot:Teleme, also called Brandza de Braila, is a so-called pickled cheese made
from goat's or ewe's milk in Rumania, Bulgaria, Greece, and Turkey. It
is very much like Greek Feta. Fresh milk is set with rennet at a temperature of about 86° F.; the curd is broken up, collected in a cloth, covered,
and pressed with a weight. The pressed curd is cut into pieces about 3 or 4
inches square and 1 J4 to 2 inches thick, and they are immersed in salt brine
for a day. The cheeses are cured for 8 to 10 days either in dilute salt brine
in a cask or packed in layers in a metal container, with salt between the

layers. The cured cheese is white and creamy. About 20 pounds of cheese
is obtained from 100 pounds of goat's milk and 30 pounds per 100 pounds of
ewe's milk.

Analysis: Moisture, 28.3 percent; fat, 37.5 percent; protein, 30.0 percent;
and salt, 2.4 percent."
What information is available about Terzolo?,"Terzolo is the Italian term used to distinguish Parmesan- type or Grana
cheese made in winter from Maggengo, which is made between April and
September, and from Quartirolo, which is made between September and
November.

260172°— 53— -9

128 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE","human:What information is available about Terzolo?
bot:Terzolo is the Italian term used to distinguish Parmesan- type or Grana
cheese made in winter from Maggengo, which is made between April and
September, and from Quartirolo, which is made between September and
November.

260172°— 53— -9

128 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE"
What information is available about Texel?,"Texel is a ewe's-milk cheese made on the Island of Texel, which is in the
North Sea oV the coast of the Netherlands. The cheeses weigh between
3 and 4 pounds.

Analysis: Moisture, 54.5 percent; fat, 18.3 percent; protein, 20.1 percent;
and salt, 3.4 percent.

Thenay

Thenay is a soft, whole-milk cheese that resembles Camembert and
Vendome. It is made, and most of it is consumed, in the region of Thenay,
Department of Loir-et-Cher, France. Rennet is added to a mixture of
evening and morning milk at a temperature of about 85° F. About 4 or 5
hours later, the curd is broken up and dipped into hoops about 5 inches in
diameter and 4 inches deep. After whey has drained from the curd for
about a day, the cheeses are removed from the hoops and salted. They are
placed in a well ventilated room for about 20 days, during which time they
will become covered with mold. The mold is cleaned oV, and the cheeses
are moved to a cool, moist cellar to cure for another 15 days.

Analysis: Moisture, 30.1 percent; fat, 15.0 percent; protein, 18.1 percent;
and salt, 4.8 percent.","human:What information is available about Texel?
bot:Texel is a ewe's-milk cheese made on the Island of Texel, which is in the
North Sea oV the coast of the Netherlands. The cheeses weigh between
3 and 4 pounds.

Analysis: Moisture, 54.5 percent; fat, 18.3 percent; protein, 20.1 percent;
and salt, 3.4 percent.

Thenay

Thenay is a soft, whole-milk cheese that resembles Camembert and
Vendome. It is made, and most of it is consumed, in the region of Thenay,
Department of Loir-et-Cher, France. Rennet is added to a mixture of
evening and morning milk at a temperature of about 85° F. About 4 or 5
hours later, the curd is broken up and dipped into hoops about 5 inches in
diameter and 4 inches deep. After whey has drained from the curd for
about a day, the cheeses are removed from the hoops and salted. They are
placed in a well ventilated room for about 20 days, during which time they
will become covered with mold. The mold is cleaned oV, and the cheeses
are moved to a cool, moist cellar to cure for another 15 days.

Analysis: Moisture, 30.1 percent; fat, 15.0 percent; protein, 18.1 percent;
and salt, 4.8 percent."
What information is available about Tibet?,"Tibet is a hard, grating cheese that is made from ewe's milk in Tibet.
The curd is formed into small 2-inch cubes of cheese, and they are hung by
strings, 50 to 100 cheeses in a group, to dry and cure.","human:What information is available about Tibet?
bot:Tibet is a hard, grating cheese that is made from ewe's milk in Tibet.
The curd is formed into small 2-inch cubes of cheese, and they are hung by
strings, 50 to 100 cheeses in a group, to dry and cure."
